Kind,Name,PercentLackOfCohesion
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AvaliacaoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.AvalicaoComportamentalRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ComissaoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.CompetenciaRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ComportamentoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.CursoCapacitacaoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.DiagnosticoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ExperienciaProfissionalRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.IdiomaRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ItemAvaliacaoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ItemPreferenciaRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.MapeamentoRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.NivelEscolaridadeRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PerfilIdiomaRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PerfilPreferenciaRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PerfilRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.PreferenciaRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.ResponsabilidadeRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.UnidadeMapeadaRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.UnidadeRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.repository.UsuarioRepository",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.AreaCapacitacaoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.AreaPerfilService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ArquivoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ComissaoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.CompetenciaService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ComportamentoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.CursoCapacitacaoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.DiagnosticoService",0
Public Interface,"br.ufc.quixada.npi.gestaocompetencia.service.ExperienciaProfissionalService",0
